datetime,open,high,low,close,volume
2026-08-05 22:00:00,64443.4,64559.9,64418.3,64528.7,1051.824
2026-08-05 22:05:00,64528.7,64696.7,64484.1,64668.3,2193.557
2026-08-05 22:10:00,64668.3,64728.5,64593.5,64593.5,2153.17
2026-08-05 22:15:00,64593.6,64606.7,64421.3,64540.7,1489.495
2026-08-05 22:20:00,64540.7,64550.1,64436.2,64463.2,406.219
2026-08-05 22:25:00,64463.3,64555.0,64442.3,64469.3,371.351
2026-08-05 22:30:00,64469.2,64566.5,64469.2,64548.1,345.344
2026-08-05 22:35:00,64548.2,64700.1,64487.0,64640.0,1418.573
2026-08-05 22:40:00,64639.9,64640.0,64521.1,64521.5,343.65
2026-08-05 22:45:00,64521.5,64527.5,64443.2,64480.7,426.856
2026-08-05 22:50:00,64480.7,64480.7,64395.1,64406.3,717.369
2026-08-05 22:55:00,64406.3,64412.0,64348.7,64353.6,630.725
2026-08-05 23:00:00,64353.6,64428.3,64352.5,64406.7,690.938
2026-08-05 23:05:00,64406.7,64495.0,64394.6,64478.5,336.646
2026-08-05 23:10:00,64478.5,64587.0,64473.5,64586.9,662.819
2026-08-05 23:15:00,64587.0,64617.6,64538.6,64598.4,475.76
2026-08-05 23:20:00,64598.4,64728.0,64595.1,64618.9,1291.613
2026-08-05 23:25:00,64618.9,64740.5,64618.9,64719.9,886.319
2026-08-05 23:30:00,64719.9,64731.9,64630.0,64671.6,642.159
2026-08-05 23:35:00,64671.5,64700.0,64620.9,64662.6,438.409
2026-08-05 23:40:00,64662.6,64707.6,64635.3,64654.1,354.039
2026-08-05 23:45:00,64654.0,64654.0,64588.5,64622.4,410.321
2026-08-05 23:50:00,64622.5,64634.5,64590.0,64604.6,162.811
2026-08-05 23:55:00,64604.6,64655.6,64584.0,64631.9,409.619
2026-08-06 00:00:00,64631.8,64667.2,64606.1,64628.7,229.659
2026-08-06 00:05:00,64628.8,64628.8,64581.2,64581.2,184.466
2026-08-06 00:10:00,64581.2,64622.9,64553.7,64553.8,236.432
2026-08-06 00:15:00,64553.8,64570.0,64515.1,64556.2,262.468
2026-08-06 00:20:00,64556.3,64557.5,64506.3,64557.5,238.196
2026-08-06 00:25:00,64557.5,64589.5,64543.0,64574.8,153.426
2026-08-06 00:30:00,64574.9,64587.2,64551.4,64569.9,160.722
2026-08-06 00:35:00,64569.8,64720.7,64566.5,64700.1,540.582
2026-08-06 00:40:00,64700.1,64719.1,64664.4,64664.5,505.214
2026-08-06 00:45:00,64664.5,64705.0,64638.7,64700.0,254.65
2026-08-06 00:50:00,64699.9,64738.0,64693.0,64733.3,515.584
2026-08-06 00:55:00,64733.2,64780.0,64722.6,64733.6,1180.481
2026-08-06 01:00:00,64733.6,64754.7,64714.0,64749.7,494.691
2026-08-06 01:05:00,64749.8,64749.8,64634.1,64652.3,522.704
2026-08-06 01:10:00,64652.3,64774.8,64641.8,64767.8,344.061
2026-08-06 01:15:00,64767.8,64785.5,64669.9,64670.0,629.236
2026-08-06 01:20:00,64669.9,64763.6,64649.9,64658.8,649.415
2026-08-06 01:25:00,64658.8,64701.2,64645.5,64692.8,575.68
2026-08-06 01:30:00,64692.7,64692.8,64641.0,64662.6,236.192
2026-08-06 01:35:00,64662.6,64759.4,64662.6,64755.1,292.227
2026-08-06 01:40:00,64755.1,64770.0,64719.7,64769.9,192.571
2026-08-06 01:45:00,64770.0,64810.0,64753.3,64757.4,1100.258
