datetime,open,high,low,close,volume
2026-03-20 01:50:00,69598.1,69708.2,69547.7,69676.2,209.65
2026-03-20 01:55:00,69676.1,69822.0,69650.0,69787.5,335.64
2026-03-20 02:00:00,69787.4,69989.8,69765.5,69974.2,930.891
2026-03-20 02:05:00,69974.3,70185.0,69962.8,70025.6,2243.15
2026-03-20 02:10:00,70025.6,70517.3,70020.0,70316.3,3804.037
2026-03-20 02:15:00,70316.4,70528.8,70207.5,70503.9,1641.245
2026-03-20 02:20:00,70503.9,70563.5,70400.5,70486.2,1671.451
2026-03-20 02:25:00,70486.3,70486.3,70190.9,70243.1,843.973
2026-03-20 02:30:00,70243.1,70409.5,70122.7,70250.0,1147.504
2026-03-20 02:35:00,70250.0,70364.1,70122.0,70357.1,735.776
2026-03-20 02:40:00,70357.0,70459.6,70303.6,70408.1,610.078
2026-03-20 02:45:00,70408.5,70408.5,70319.7,70334.0,312.98
2026-03-20 02:50:00,70334.0,70336.1,70138.0,70250.5,577.544
2026-03-20 02:55:00,70250.6,70291.8,70162.2,70233.1,361.476
2026-03-20 03:00:00,70233.0,70276.2,70161.0,70224.2,278.064
2026-03-20 03:05:00,70224.2,70298.0,70168.9,70264.2,323.573
2026-03-20 03:10:00,70264.2,70272.4,70160.9,70253.9,202.827
2026-03-20 03:15:00,70253.9,70425.7,70253.9,70418.5,343.997
2026-03-20 03:20:00,70418.6,70443.4,70321.4,70327.8,319.184
2026-03-20 03:25:00,70327.9,70388.0,70277.8,70300.0,186.705
2026-03-20 03:30:00,70299.9,70381.9,70279.8,70348.7,152.116
2026-03-20 03:35:00,70348.6,70543.0,70340.1,70543.0,463.726
2026-03-20 03:40:00,70543.0,70655.2,70457.8,70472.0,901.821
2026-03-20 03:45:00,70471.9,70493.8,70390.8,70429.3,324.3
2026-03-20 03:50:00,70429.4,70453.4,70400.0,70446.0,238.084
2026-03-20 03:55:00,70446.0,70480.9,70410.9,70444.3,272.565
2026-03-20 04:00:00,70444.4,70550.0,70409.4,70517.3,216.738
2026-03-20 04:05:00,70517.3,70626.3,70495.3,70626.2,255.145
2026-03-20 04:10:00,70626.2,70654.4,70610.2,70647.0,357.224
2026-03-20 04:15:00,70647.1,70647.1,70557.3,70557.3,314.389
2026-03-20 04:20:00,70557.3,70575.0,70469.4,70553.0,367.247
2026-03-20 04:25:00,70553.0,70575.0,70493.2,70510.4,132.438
2026-03-20 04:30:00,70510.5,70550.0,70394.7,70441.8,273.473
2026-03-20 04:35:00,70441.7,70502.4,70435.5,70443.4,160.987
2026-03-20 04:40:00,70443.3,70480.5,70400.0,70424.8,222.895
2026-03-20 04:45:00,70424.8,70424.8,70354.3,70375.0,222.561
2026-03-20 04:50:00,70375.0,70402.9,70331.9,70379.9,550.352
2026-03-20 04:55:00,70380.0,70515.8,70375.9,70376.1,240.89
2026-03-20 05:00:00,70376.0,70475.9,70330.1,70330.1,479.055
2026-03-20 05:05:00,70330.1,70407.1,70270.0,70371.4,325.491
2026-03-20 05:10:00,70371.3,70437.0,70338.3,70410.0,153.568
2026-03-20 05:15:00,70410.0,70413.8,70324.8,70395.0,140.733
2026-03-20 05:20:00,70395.0,70410.6,70330.0,70365.7,184.159
2026-03-20 05:25:00,70365.6,70396.4,70342.0,70342.0,97.732
2026-03-20 05:30:00,70342.0,70342.0,70090.1,70191.7,885.317
2026-03-20 05:35:00,70191.7,70199.9,69920.7,70004.8,1460.427
2026-03-20 05:40:00,70004.8,70058.8,69910.2,70036.9,322.296
2026-03-20 05:45:00,70036.9,70079.9,69970.5,70079.9,344.207
2026-03-20 05:50:00,70079.9,70143.1,70070.4,70133.3,264.45
2026-03-20 05:55:00,70133.3,70157.0,70080.0,70157.0,241.483
2026-03-20 06:00:00,70156.9,70260.0,70150.0,70237.1,362.636
2026-03-20 06:05:00,70237.1,70258.3,70188.3,70190.2,204.584
2026-03-20 06:10:00,70190.2,70207.1,70150.0,70165.7,204.467
2026-03-20 06:15:00,70165.8,70165.9,69980.0,69992.8,387.601
2026-03-20 06:20:00,69992.8,70004.6,69931.6,70004.5,408.402
2026-03-20 06:25:00,70004.5,70145.4,70004.4,70114.8,266.829
2026-03-20 06:30:00,70114.8,70161.5,69954.9,69955.0,278.434
