datetime,open,high,low,close,volume
2026-08-05 23:40:00,1892.72,1894.29,1891.36,1891.83,14081.941
2026-08-05 23:45:00,1891.83,1891.84,1888.51,1888.86,18288.304
2026-08-05 23:50:00,1888.87,1889.6,1887.57,1889.59,11718.246
2026-08-05 23:55:00,1889.6,1894.86,1888.83,1894.79,18372.836
2026-08-06 00:00:00,1894.8,1897.88,1894.32,1895.3,32092.853
2026-08-06 00:05:00,1895.3,1895.59,1892.64,1893.03,12356.658
2026-08-06 00:10:00,1893.03,1895.5,1892.19,1893.11,9200.939
2026-08-06 00:15:00,1893.1,1893.1,1891.13,1891.77,8223.35
2026-08-06 00:20:00,1891.76,1892.0,1890.21,1891.79,7892.912
2026-08-06 00:25:00,1891.79,1893.27,1891.11,1891.65,6908.591
2026-08-06 00:30:00,1891.64,1893.1,1891.27,1892.5,4682.594
2026-08-06 00:35:00,1892.51,1906.5,1892.51,1906.21,90229.321
2026-08-06 00:40:00,1906.21,1910.97,1905.14,1907.7,73857.062
2026-08-06 00:45:00,1907.69,1911.1,1906.23,1910.94,37095.891
2026-08-06 00:50:00,1910.93,1916.0,1910.2,1914.94,44654.824
2026-08-06 00:55:00,1914.94,1916.88,1914.0,1915.93,27423.971
2026-08-06 01:00:00,1915.93,1919.71,1914.72,1919.63,55430.416
2026-08-06 01:05:00,1919.64,1920.0,1913.48,1913.92,60908.432
2026-08-06 01:10:00,1913.93,1920.99,1913.0,1919.69,32118.058
2026-08-06 01:15:00,1919.7,1923.6,1917.69,1918.79,41239.101
2026-08-06 01:20:00,1918.79,1927.19,1918.52,1919.01,51165.293
2026-08-06 01:25:00,1919.01,1920.0,1917.58,1918.74,13200.166
2026-08-06 01:30:00,1918.74,1918.75,1914.28,1914.54,17317.709
2026-08-06 01:35:00,1914.55,1919.62,1914.55,1919.6,10868.866
2026-08-06 01:40:00,1919.6,1920.68,1917.1,1920.43,9931.918
2026-08-06 01:45:00,1920.44,1920.7,1916.86,1916.96,10937.726
2026-08-06 01:50:00,1916.97,1918.63,1915.65,1916.24,8757.991
2026-08-06 01:55:00,1916.24,1917.75,1914.97,1917.23,13079.83
2026-08-06 02:00:00,1917.23,1918.71,1914.78,1918.71,9576.531
2026-08-06 02:05:00,1918.71,1919.18,1916.04,1917.2,11296.982
2026-08-06 02:10:00,1917.19,1918.75,1915.48,1917.81,6025.372
2026-08-06 02:15:00,1917.81,1917.99,1916.51,1916.51,6362.019
2026-08-06 02:20:00,1916.51,1919.3,1916.5,1918.78,5143.673
2026-08-06 02:25:00,1918.79,1920.18,1918.31,1918.51,7228.059
2026-08-06 02:30:00,1918.51,1918.92,1915.95,1915.95,7615.337
2026-08-06 02:35:00,1915.94,1918.79,1915.12,1917.96,5067.063
2026-08-06 02:40:00,1917.97,1919.31,1917.86,1919.05,5188.439
2026-08-06 02:45:00,1919.06,1919.99,1917.89,1918.42,6046.437
2026-08-06 02:50:00,1918.43,1920.13,1918.28,1919.85,4364.325
2026-08-06 02:55:00,1919.85,1920.09,1915.81,1916.09,8521.042
2026-08-06 03:00:00,1916.09,1918.31,1915.59,1918.3,11782.935
2026-08-06 03:05:00,1918.3,1918.3,1915.92,1916.48,9663.231
2026-08-06 03:10:00,1916.49,1920.7,1916.42,1920.22,11889.839
2026-08-06 03:15:00,1920.23,1920.55,1918.56,1918.57,4180.526
2026-08-06 03:20:00,1918.56,1921.5,1917.88,1920.14,18656.838
2026-08-06 03:25:00,1920.15,1920.2,1918.25,1919.27,5054.151
2026-08-06 03:30:00,1919.28,1919.98,1918.3,1918.4,6050.48
2026-08-06 03:35:00,1918.4,1919.19,1917.69,1918.99,5235.148
2026-08-06 03:40:00,1919.0,1923.3,1918.99,1923.3,13580.197
2026-08-06 03:45:00,1923.3,1923.94,1919.81,1920.07,8959.324
2026-08-06 03:50:00,1920.06,1920.35,1919.36,1919.99,6847.823
2026-08-06 03:55:00,1919.99,1919.99,1915.5,1916.19,20145.349
2026-08-06 04:00:00,1916.2,1916.56,1908.8,1908.87,50605.872
2026-08-06 04:05:00,1908.88,1911.17,1906.73,1909.42,21763.185
2026-08-06 04:10:00,1909.41,1913.29,1909.37,1912.87,14602.053
2026-08-06 04:15:00,1912.88,1913.33,1911.21,1911.44,6060.892
2026-08-06 04:20:00,1911.45,1911.57,1909.24,1910.29,6706.176
2026-08-06 04:25:00,1910.29,1911.0,1908.9,1909.65,5022.649
2026-08-06 04:30:00,1909.65,1911.23,1908.07,1908.07,6089.006
2026-08-06 04:35:00,1908.07,1908.07,1906.03,1907.55,9562.365
2026-08-06 04:40:00,1907.56,1908.71,1907.34,1907.7,9561.418
2026-08-06 04:45:00,1907.7,1908.0,1906.5,1907.99,8614.07
2026-08-06 04:50:00,1907.99,1909.8,1907.99,1908.83,8040.174
2026-08-06 04:55:00,1908.83,1909.2,1907.49,1907.75,4790.608
2026-08-06 05:00:00,1907.76,1909.88,1905.43,1907.37,12256.029
2026-08-06 05:05:00,1907.36,1909.77,1907.18,1908.55,5393.443
2026-08-06 05:10:00,1908.54,1912.3,1908.37,1910.59,8869.094
2026-08-06 05:15:00,1910.59,1912.42,1910.59,1911.55,4466.481
2026-08-06 05:20:00,1911.55,1911.62,1909.38,1910.28,3636.737
2026-08-06 05:25:00,1910.28,1911.23,1908.47,1911.14,7320.729
2026-08-06 05:30:00,1911.14,1911.97,1910.09,1910.8,3950.821
2026-08-06 05:35:00,1910.8,1910.94,1908.8,1908.84,2702.458
2026-08-06 05:40:00,1908.84,1909.11,1908.25,1908.3,2836.809
2026-08-06 05:45:00,1908.3,1910.59,1908.3,1908.74,5142.472
2026-08-06 05:50:00,1908.74,1908.88,1907.2,1907.2,4564.789
2026-08-06 05:55:00,1907.2,1907.25,1905.61,1906.0,6775.357
