entry_time,entry_price,exit_time,exit_price,direction,net_pnl_usdt,pnl_pct,capital_after
2026-07-20 18:40:00,64850.9,2026-07-20 19:40:00,64576.4,LONG,-0.1359835885084103,-0.42327862836136765,5.86401641149159
2026-07-20 20:50:00,64699.5,2026-07-20 20:55:00,64376.0025,LONG,-0.15539643490452712,-0.5,5.708619976587062
2026-07-20 22:05:00,64579.8,2026-07-20 22:40:00,65225.598000000005,LONG,0.2768680688644725,1.0,5.985488045451535
2026-07-20 22:45:00,65209.1,2026-07-20 23:45:00,65434.9,LONG,0.09465172147074309,0.3462706892136236,6.0801397669222785
2026-07-20 23:45:00,65349.0,2026-07-21 00:45:00,65452.8,LONG,0.03916809681234258,0.15883946196575405,6.119307863734621
2026-07-21 00:55:00,65553.0,2026-07-21 01:45:00,65225.235,LONG,-0.16216165838896746,-0.5,5.957146205345653
2026-07-21 20:55:00,66706.9,2026-07-21 21:55:00,66804.3,LONG,0.034554987080727725,0.14601188182932212,5.9917011924263806
2026-07-21 22:10:00,66756.9,2026-07-21 23:10:00,66580.7,LONG,-0.08806085732750703,-0.26394275348315954,5.903640335098873
2026-07-22 21:10:00,65971.8,2026-07-22 21:20:00,65641.941,LONG,-0.15644646888012015,-0.5,5.747193866218753
2026-07-22 22:25:00,65999.6,2026-07-22 23:25:00,65990.0,LONG,-0.012800593488719654,-0.014545542700272751,5.734393272730033
2026-07-22 23:35:00,66207.5,2026-07-23 00:35:00,66109.7,LONG,-0.05095507418753907,-0.14771740361742003,5.683438198542494
2026-07-27 20:40:00,65403.4,2026-07-27 21:20:00,65076.383,LONG,-0.1506111122613761,-0.5,5.532827086281118
2026-07-27 23:45:00,64894.4,2026-07-28 00:45:00,64947.9,LONG,0.014507523060204823,0.08244162824526668,5.547334609341323
2026-07-28 21:45:00,63327.3,2026-07-28 22:45:00,63960.573000000004,LONG,0.2690457285530542,1.0,5.816380337894378
2026-07-28 22:45:00,63841.1,2026-07-28 23:45:00,63900.0,LONG,0.01810648361831845,0.09226031506348598,5.834486821512696
2026-07-28 23:55:00,64039.7,2026-07-29 00:15:00,63719.5015,LONG,-0.15461390077008647,-0.5,5.67987292074261
2026-07-29 20:50:00,64607.1,2026-07-29 20:55:00,64284.0645,LONG,-0.15051663239967916,-0.5,5.529356288342931
2026-07-29 21:00:00,64634.6,2026-07-29 21:10:00,64311.426999999996,LONG,-0.14652794164108768,-0.5,5.382828346701843
2026-07-29 21:10:00,64451.2,2026-07-29 21:25:00,64128.943999999996,LONG,-0.14264495118759885,-0.5,5.2401833955142445
2026-07-30 00:55:00,64172.7,2026-07-30 01:30:00,63851.8365,LONG,-0.13886485998112746,-0.5,5.101318535533117
2026-07-30 01:30:00,64072.0,2026-07-30 02:30:00,63938.4,LONG,-0.060837156691675484,-0.20851542015232205,5.0404813788414415
2026-07-30 15:30:00,64240.1,2026-07-30 16:30:00,64580.0,LONG,0.12578742190008477,0.5291087653973126,5.166268800741526
2026-07-30 20:50:00,65110.0,2026-07-30 21:05:00,64784.45,LONG,-0.13690612321965043,-0.5,5.029362677521876
2026-08-03 20:40:00,62848.1,2026-08-03 21:15:00,63476.581,LONG,0.24392408985981098,1.0,5.273286767381687
2026-08-03 21:15:00,63299.1,2026-08-03 21:55:00,63932.091,LONG,0.2557544082180118,1.0,5.529041175599699
2026-08-03 21:55:00,63847.9,2026-08-03 22:55:00,63659.5,LONG,-0.08986800332553412,-0.29507626719125213,5.439173172274165
2026-08-03 23:05:00,63788.0,2026-08-04 00:05:00,63763.8,LONG,-0.018476373633200885,-0.0379381701887449,5.420696798640964
2026-08-04 00:25:00,63961.6,2026-08-04 01:25:00,63817.8,LONG,-0.06906574661604196,-0.2248223934360527,5.351631052024922
2026-08-04 21:30:00,63864.9,2026-08-04 22:30:00,63823.3,LONG,-0.025457040280073007,-0.0651375011939237,5.3261740117448495
2026-08-04 22:45:00,64099.8,2026-08-04 23:45:00,63976.5,LONG,-0.05921541582996842,-0.1923562944034174,5.266958595914881
2026-08-05 00:10:00,64101.3,2026-08-05 01:10:00,64191.0,LONG,0.02895109133046276,0.13993475951346035,5.295909687245343
2026-08-05 01:15:00,64191.0,2026-08-05 02:15:00,64277.5,LONG,0.027738410861842963,0.1347540932529423,5.323648098107186
2026-08-05 20:55:00,64255.0,2026-08-05 21:55:00,64443.3,LONG,0.07001958091280477,0.2930511244261247,5.39366767901999
2026-08-05 21:55:00,64387.9,2026-08-05 22:55:00,64353.6,LONG,-0.022456772307794144,-0.05327087853463919,5.3712109067121965
2026-08-05 23:15:00,64587.0,2026-08-06 00:15:00,64556.2,LONG,-0.02086382829178445,-0.047687615154756724,5.350347078420412
2026-08-06 21:45:00,64785.1,2026-08-06 22:45:00,64807.8,LONG,0.0013479988089157395,0.03503892098646322,5.351695077229327
2026-08-07 20:00:00,65259.0,2026-08-07 21:00:00,64932.705,LONG,-0.14181991954657716,-0.5,5.20987515768275
2026-08-07 21:30:00,65165.1,2026-08-07 22:30:00,65027.7,LONG,-0.06273967640324343,-0.2108490587753309,5.1471354812795065
2026-08-14 02:10:00,63458.4,2026-08-14 03:10:00,63392.9,LONG,-0.03428435547471731,-0.10321722577310011,5.112851125804789
2026-08-14 22:40:00,62993.2,2026-08-14 23:40:00,63177.6,LONG,0.06716497110299365,0.2927300089533569,5.180016096907782
