period,entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after,split
IN_SAMPLE,2026-05-08 10:25:00,8235,SOLUSDT,1,88.16,88.95344,87.7192,4972.8403690267605,1.2816241485471536,6,2026-05-08 13:25:00,88.0,TIME_EXPIRE,-13.500674969196051,-0.1814882032667838,4959.339694057565,IS_70
IN_SAMPLE,2026-05-08 21:40:00,8370,SOLUSDT,1,89.16,89.96244,88.71419999999999,4959.339694057565,1.2740377667872198,6,2026-05-08 22:15:00,88.71419999999999,STOP_LOSS,-29.26010419493994,-0.5000000000000062,4930.079589862625,IS_70
IN_SAMPLE,2026-05-09 14:55:00,8577,SOLUSDT,1,93.71,94.55339,93.24145,4930.079589862625,1.250812984176604,6,2026-05-09 16:15:00,93.24145,STOP_LOSS,-29.087469580189143,-0.499999999999993,4900.992120282435,IS_70
IN_SAMPLE,2026-05-10 16:25:00,8883,SOLUSDT,1,94.46,95.31013999999999,93.98769999999999,4900.992120282435,1.2891364847432476,6,2026-05-10 17:00:00,93.98769999999999,STOP_LOSS,-28.915853509666583,-0.5000000000000044,4872.076266772769,IS_70
IN_SAMPLE,2026-05-11 08:10:00,9072,BTCUSDT,-1,81466.1,80732.9051,81873.4305,4872.076266772769,-1.2844603736954017,6,2026-05-11 10:10:00,80732.9051,TAKE_PROFIT,39.463817760859556,0.9000000000000027,4911.540084533628,IS_70
IN_SAMPLE,2026-05-14 13:55:00,10005,SOLUSDT,1,91.35,92.17214999999999,90.89325,4911.540084533628,1.2663679383054185,6,2026-05-14 14:10:00,90.89325,STOP_LOSS,-28.978086498748382,-0.4999999999999995,4882.561998034879,IS_70
IN_SAMPLE,2026-05-20 15:10:00,11748,BTCUSDT,-1,77249.1,76553.85810000001,77635.34550000001,4882.561998034879,-1.3076812289771653,6,2026-05-20 17:35:00,77635.34550000001,STOP_LOSS,-28.807115788406072,-0.5000000000000058,4853.754882246473,IS_70
IN_SAMPLE,2026-05-22 15:25:00,12327,SOLUSDT,1,87.45,88.23705,87.01275,4853.754882246473,1.2650106355620914,6,2026-05-22 15:35:00,87.01275,STOP_LOSS,-28.63715380525452,-0.5000000000000068,4825.117728441219,IS_70
IN_SAMPLE,2026-05-24 12:55:00,12873,SOLUSDT,1,86.13,86.90517,85.69935,4825.117728441219,1.3184627485653868,6,2026-05-24 15:55:00,86.46,TIME_EXPIRE,14.144435149541575,0.3831417624521053,4839.262163590761,IS_70
IN_SAMPLE,2026-05-25 15:40:00,13194,BTCUSDT,-1,77312.9,76617.0839,77699.46449999999,4839.262163590761,-1.262478133169774,6,2026-05-25 18:40:00,77430.0,TIME_EXPIRE,-11.685000199335878,-0.1514624338241171,4827.577163391425,IS_70
IN_SAMPLE,2026-05-25 21:25:00,13263,BTCUSDT,-1,77580.5,76882.2755,77968.4025,4827.577163391425,-1.2932981638793257,6,2026-05-26 00:25:00,77624.2,TIME_EXPIRE,-7.064125484525503,-0.05632858772500447,4820.513037906899,IS_70
IN_SAMPLE,2026-05-26 17:10:00,13500,BTCUSDT,-1,76686.9,75996.71789999999,77070.3345,4820.513037906899,-1.295802420547961,6,2026-05-26 17:25:00,77070.3345,STOP_LOSS,-28.441026923650895,-0.500000000000004,4792.072010983248,IS_70
IN_SAMPLE,2026-05-27 15:10:00,13764,ETHUSDT,1,2085.04,2103.80536,2074.6148,4792.072010983248,1.2548259412913445,6,2026-05-27 18:10:00,2081.11,TIME_EXPIRE,-13.345230137726778,-0.18848559260253214,4778.726780845522,IS_70
IN_SAMPLE,2026-05-28 21:55:00,14133,BTCUSDT,-1,72997.5,72340.5225,73362.4875,4778.726780845522,-1.303254446559082,6,2026-05-28 23:45:00,73362.4875,STOP_LOSS,-28.19448800698877,-0.500000000000004,4750.532292838533,IS_70
IN_SAMPLE,2026-05-31 09:55:00,14853,BTCUSDT,-1,74060.9,73394.3519,74431.20449999999,4750.532292838533,-1.272764720428195,6,2026-05-31 12:55:00,74027.9,TIME_EXPIRE,-2.158740465135384,0.044557924626894896,4748.373552373398,IS_70
IN_SAMPLE,2026-06-02 10:40:00,15438,BTCUSDT,-1,70960.4,70321.7564,71315.20199999999,4748.373552373398,-1.2872086266865537,6,2026-06-02 12:50:00,70321.7564,TAKE_PROFIT,38.461825774224245,0.8999999999999942,4786.835378147622,IS_70
IN_SAMPLE,2026-06-02 21:10:00,15564,BTCUSDT,-1,68556.1,67939.0951,68898.8805,4786.835378147622,-1.2500256579826001,6,2026-06-02 21:20:00,67939.0951,TAKE_PROFIT,38.77336656299572,0.8999999999999998,4825.608744710617,IS_70
IN_SAMPLE,2026-06-05 20:25:00,16419,SOLUSDT,1,66.46,67.37491428571428,65.95171428571427,3154.8197023809316,1.3083382036740492,6,2026-06-05 20:40:00,65.95171428571427,STOP_LOSS,-26.96738145569614,-0.7647994497227195,4798.641363254921,IS_70
