period,entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after
OUT_OF_SAMPLE,2026-08-30 20:25:00,7161,SOLUSDT,1,106.31,107.26679,105.77845,5000.000000000001,1.2753756409651826,6,2026-08-30 20:45:00,107.26679,TAKE_PROFIT,40.499999999999915,0.8999999999999982,5040.5
OUT_OF_SAMPLE,2026-09-01 16:25:00,7689,ETHUSDT,1,2450.27,2472.32243,2438.01865,5040.5,1.2565308271711069,6,2026-09-01 19:25:00,2454.28,TIME_EXPIRE,3.7126021452742357,0.16365543389096787,5044.212602145274
OUT_OF_SAMPLE,2026-09-02 09:40:00,7896,SOLUSDT,1,99.81,100.70829,99.31095,5044.212602145274,1.3147515838195765,6,2026-09-02 12:40:00,100.17,TIME_EXPIRE,13.65394211936868,0.3606853020739399,5057.8665442646425
OUT_OF_SAMPLE,2026-09-05 15:40:00,8832,SOLUSDT,1,102.38,103.30142,101.8681,5057.8665442646425,1.2685231400678745,6,2026-09-05 18:40:00,102.21,TIME_EXPIRE,-12.950568974864531,-0.16604805626099015,5044.915975289778
OUT_OF_SAMPLE,2026-09-06 10:25:00,9057,SOLUSDT,1,104.97,105.91473,104.44515,5044.915975289778,1.260038507997106,6,2026-09-06 10:35:00,105.91473,TAKE_PROFIT,40.863819399847536,0.9000000000000067,5085.779794689625
OUT_OF_SAMPLE,2026-09-07 09:25:00,9333,BTCUSDT,-1,79998.4,79278.4144,80398.39199999999,5085.779794689625,-1.250625421737112,6,2026-09-07 09:40:00,80398.39199999999,STOP_LOSS,-30.00610078866869,-0.499999999999998,5055.7736939009565
OUT_OF_SAMPLE,2026-09-07 19:55:00,9459,BTCUSDT,-1,79567.4,78851.2934,79965.237,5055.7736939009565,-1.2911918052431803,6,2026-09-07 22:15:00,78851.2934,TAKE_PROFIT,40.951766920597706,0.899999999999999,5096.725460821554
OUT_OF_SAMPLE,2026-09-08 21:10:00,9762,BTCUSDT,-1,78123.4,77420.2894,78514.01699999999,5096.725460821554,-1.2771837904957348,6,2026-09-08 21:45:00,78514.01699999999,STOP_LOSS,-30.070680218847066,-0.49999999999999795,5066.654780602707
