entry_time,entry_price,exit_time,exit_price,direction,net_pnl_usdt,pnl_pct,capital_after
2026-07-27 20:40:00,65403.4,2026-07-27 20:45:00,65665.0136,LONG,0.108,0.4,6.108
2026-07-27 23:35:00,64856.8,2026-07-28 00:35:00,65006.5,LONG,0.0582752669141817,0.23081619814728782,6.166275266914181
2026-07-28 22:15:00,63432.4,2026-07-28 22:20:00,63686.1296,LONG,0.11099295480445526,0.4,6.277268221718637
2026-08-03 20:50:00,62949.2,2026-08-03 20:55:00,63200.9968,LONG,0.11299082799093545,0.4,6.390259049709572
2026-08-03 20:55:00,63144.0,2026-08-03 21:10:00,63396.576,LONG,0.1150246628947723,0.4,6.505283712604344
2026-08-04 21:40:00,63967.0,2026-08-04 22:40:00,64099.8,LONG,0.05451656977317906,0.20760704738380653,6.559800282377523
2026-08-05 20:55:00,64255.0,2026-08-05 21:15:00,64512.02,LONG,0.11807640508279542,0.4,6.677876687460318
2026-08-05 21:35:00,64331.3,2026-08-05 22:05:00,64588.6252,LONG,0.12020178037428574,0.4,6.798078467834604
2026-08-05 22:20:00,64540.7,2026-08-05 23:20:00,64618.9,LONG,0.02758791266573485,0.1211638547459204,6.825666380500339
2026-09-03 21:30:00,79624.5,2026-09-03 21:45:00,79942.998,LONG,0.1228619948490061,0.4,6.948528375349345
2026-09-03 23:35:00,80912.8,2026-09-04 00:35:00,81119.8,LONG,0.07498538049639049,0.2558309686477189,7.023513755845736
2026-09-04 02:10:00,81246.2,2026-09-04 02:20:00,81571.1848,LONG,0.12642324760522322,0.4,7.149937003450959
