entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after
2026-08-08 10:40:00,708,SOLUSDT,1,74.45,75.12005,74.07775000000001,5000.0,1.3334417335128625,6,2026-08-08 11:00:00,75.12005,TAKE_PROFIT,40.50000000000022,0.9000000000000045,5040.5
2026-08-08 21:55:00,843,SOLUSDT,1,76.48,77.16832000000001,76.0976,5040.5,1.3171918489633105,6,2026-08-09 00:55:00,76.37,TIME_EXPIRE,-11.786123117154773,-0.14382845188284443,5028.713876882845
2026-08-14 15:55:00,2499,BTCUSDT,-1,62904.9,62338.755900000004,63219.4245,5028.713876882845,-1.2590180472694086,6,2026-08-14 18:55:00,62837.4,TIME_EXPIRE,0.8702107068138911,0.1073048363482018,5029.584087589659
2026-08-15 20:55:00,2847,SOLUSDT,1,75.53,76.20977,75.15235,5029.584087589659,1.298090355528676,6,2026-08-15 23:55:00,75.45,TIME_EXPIRE,-9.85386951581155,-0.10591817820733258,5019.730218073848
2026-08-16 10:10:00,3006,SOLUSDT,1,75.58,76.26022,75.2021,5019.730218073848,1.3016633127725203,6,2026-08-16 13:10:00,75.29,TIME_EXPIRE,-23.778431491600887,-0.38369939137336867,4995.951786582247
2026-08-18 14:10:00,3630,SOLUSDT,1,76.14,76.82526,75.7593,4995.951786582247,1.2996096226189333,6,2026-08-18 17:10:00,75.88,TIME_EXPIRE,-21.556344321496518,-0.3414762280010574,4974.39544226075
2026-08-21 12:40:00,4476,SOLUSDT,1,90.14,90.95126,89.6893,4974.39544226075,1.262853632779749,6,2026-08-21 13:00:00,90.95126,TAKE_PROFIT,40.29260308231232,0.9000000000000048,5014.688045343062
2026-08-21 19:55:00,4563,ETHUSDT,1,2387.75,2409.23975,2375.81125,5014.688045343062,1.3250735176466804,6,2026-08-21 20:30:00,2375.81125,STOP_LOSS,-29.586659467523646,-0.4999999999999916,4985.101385875539
2026-08-23 21:10:00,5154,BTCUSDT,-1,77538.1,76840.2571,77925.7905,4985.101385875539,-1.2533358050676182,6,2026-08-23 21:40:00,76840.2571,TAKE_PROFIT,40.37932122559207,0.9000000000000041,5025.480707101131
2026-08-24 12:25:00,5337,ETHUSDT,1,2449.9,2471.9491000000003,2437.6505,5025.480707101131,1.2538121879972217,6,2026-08-24 12:35:00,2437.6505,STOP_LOSS,-29.650336171896466,-0.49999999999999584,4995.830370929235
2026-08-24 18:40:00,5412,BTCUSDT,-1,78559.5,77852.4645,78952.2975,4995.830370929235,-1.3286786954448837,6,2026-08-24 19:45:00,78952.2975,STOP_LOSS,-29.475399188482523,-0.5000000000000007,4966.354971740752
2026-08-28 12:40:00,6492,BTCUSDT,-1,79786.3,79068.2233,80185.23150000001,4966.354971740752,-1.2910820303759678,6,2026-08-28 15:40:00,79682.5,TIME_EXPIRE,1.991385327469569,0.13009752300833965,4968.346357068222
2026-08-29 21:10:00,6882,SOLUSDT,1,103.95,104.88555000000001,103.43025,4968.346357068222,1.3022363785276834,6,2026-08-29 21:40:00,104.88555000000001,TAKE_PROFIT,40.24360549225289,0.900000000000006,5008.589962560474
2026-08-30 20:25:00,7161,SOLUSDT,1,106.31,107.26679,105.77845,5008.589962560475,1.2753756409651826,6,2026-08-30 20:45:00,107.26679,TAKE_PROFIT,40.56957869673976,0.8999999999999982,5049.159541257214
2026-09-01 16:25:00,7689,ETHUSDT,1,2450.27,2472.32243,2438.01865,5049.159541257214,1.2565308271711069,6,2026-09-01 19:25:00,2454.28,TIME_EXPIRE,3.718980367960204,0.16365543389096787,5052.8785216251745
2026-09-02 09:40:00,7896,SOLUSDT,1,99.81,100.70829,99.31095,5052.8785216251745,1.3147515838195765,6,2026-09-02 12:40:00,100.17,TIME_EXPIRE,13.67739948969033,0.3606853020739399,5066.555921114865
2026-09-05 15:40:00,8832,SOLUSDT,1,102.38,103.30142,101.8681,5066.555921114865,1.2685231400678745,6,2026-09-05 18:40:00,102.21,TIME_EXPIRE,-12.972817955390717,-0.16604805626099015,5053.583103159474
2026-09-06 10:25:00,9057,SOLUSDT,1,104.97,105.91473,104.44515,5053.583103159474,1.260038507997106,6,2026-09-06 10:35:00,105.91473,TAKE_PROFIT,40.93402313559208,0.9000000000000067,5094.517126295066
2026-09-07 09:25:00,9333,BTCUSDT,-1,79998.4,79278.4144,80398.39199999999,5094.517126295066,-1.250625421737112,6,2026-09-07 09:40:00,80398.39199999999,STOP_LOSS,-30.05765104514079,-0.499999999999998,5064.459475249925
2026-09-07 19:55:00,9459,BTCUSDT,-1,79567.4,78851.2934,79965.237,5064.459475249925,-1.2911918052431803,6,2026-09-07 22:15:00,78851.2934,TAKE_PROFIT,41.022121749524345,0.899999999999999,5105.48159699945
2026-09-08 21:10:00,9762,BTCUSDT,-1,78123.4,77420.2894,78514.01699999999,5105.48159699945,-1.2771837904957348,6,2026-09-08 21:45:00,78514.01699999999,STOP_LOSS,-30.12234142229665,-0.49999999999999795,5075.359255577153
